,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
294,1906f68c-2d10-4182-9a0f-31a1f7d77c29,192,0.44164174795150757,/crime-justice-and-law/legal-aid-reform,2,"Crime, justice and law",0,0
205,cb7db7bb-d0b4-4e22-9f0b-58a28c2db38c,1638,0.4414936304092407,/international/human-rights-internationally,2,International,0,0
63,6df55cf4-d25c-41d2-aec9-824c67a9eb51,884,0.4410784840583801,/employment/pensions-and-ageing-society,2,Work,0,0
373,b6cf9b52-74b4-46ea-be56-43e6e222bd87,20,0.44021379947662354,/environment/producing-distributing-food-meat-production,4,Environment,0,0
464,82e9e133-20aa-424d-bc61-f30b29e2d05b,97,0.43968069553375244,/transport/transport-planning,2,Transport,0,0
134,1327984f-95e0-4ca7-94c7-c63e69c30924,799,0.4391086995601654,/business-and-industry/regulation-reform,3,Business and industry,0,0
397,6e11db64-8195-40f1-91b2-5f2bdd10a723,37,0.4387684166431427,/housing-local-and-community/recycling-rubbish,3,"Housing, local and community",0,0
32,7172945a-aed5-4fa1-af6b-9ae09a584ad8,513,0.4384859502315521,/environment/marine-environment,3,Environment,0,0
93,5f76fe36-e3a8-4443-b17b-3ea12ad54230,84,0.4384065866470337,/transport/aviation-safety-and-security,3,Transport,0,0
194,35136812-221c-4ba2-8ed1-46e409ca5e10,373,0.438401997089386,/money/tax-evasion-and-avoidance,2,Money,0,0
852,23a712ff-23b3-4f5a-83f1-44ac679fe615,32,0.4382826089859009,/employment/contract-working-hours,3,Work,0,0
245,092c86a5-717e-4bea-be43-4a5d8695a113,499,0.4381602108478546,/business-and-industry/energy-industry-and-infrastructure-licensing-and-regulation,3,Business and industry,0,0
565,5b9686c9-eaf8-48bd-9351-5fac0e721a02,57,0.43727949261665344,/employment/work,2,Work,0,0
731,2e444a6b-c6b5-4c7b-a66a-d7e059914979,15,0.43722593784332275,/society-and-culture/loneliness,2,Society and culture,0,0
706,e6017952-1324-4e3c-98d4-226ac0492a03,53,0.4368698000907898,/education/adult-and-community-learning,3,"Education, training and skills",0,0
144,f4e9e92d-9192-4e17-90c6-553339bc04c3,1171,0.4362627863883972,/environment/waste-and-recycling,2,Environment,0,0
590,4fa23fdb-c407-468e-a1b4-4ed443dda6e2,23,0.43591129779815674,/environment/fishing-quota-and-catch-limits,4,Environment,0,0
297,b9cc1cf1-73a6-4855-9da6-25b6b763589e,160,0.43562400341033936,/international/government-topics-foreign-affairs-uk-overseas-territories,3,International,0,0
81,80cb30f4-0361-49ea-ad84-bc10910318bf,700,0.4354979991912842,/business-and-industry/charities-and-social-enterprises,2,Business and industry,0,0
302,2ae1b18a-142b-41b8-b6b2-5d023a363e07,401,0.43534713983535767,/international/overseas-aid-transparency,3,International,0,0
441,8ff5779f-5825-4aed-8a5f-6b99bc4654db,110,0.43526577949523926,/transport/hgv-and-goods-carriage-vehicle-licensing,5,Transport,0,0
701,1218dda2-9279-4fec-840c-1321cb1a8934,40,0.4350983500480652,/environment/oil-gas-coal,2,Environment,0,0
487,ccadca16-a0e8-4ae2-adb0-990d93ff3445,76,0.4346863329410553,/education/spiritual-moral-social-and-cultural-development,3,"Education, training and skills",0,0
382,db605204-0f03-441b-837f-16613c6b3f8f,80,0.4339676797389984,/education/pupil-wellbeing-behaviour-and-attendance,2,"Education, training and skills",0,0
787,f1126ffb-e352-4129-bb33-8e4dfdbee9ac,41,0.43392816185951233,/environment/producing-distributing-food-food-labelling,4,Environment,0,0
669,326022e0-8146-496c-9de5-6e390ff9e406,41,0.43387266993522644,/international/water-and-sanitation-in-developing-countries,3,International,0,0
298,ff00b8b2-dcdb-4659-93c2-291c9be354f3,165,0.4337598383426666,/education/teaching-and-leadership,2,"Education, training and skills",0,0
435,0fffa994-b76d-4539-8bf9-2a6c6751580d,104,0.4337225556373596,/life-circumstances/death,2,Life circumstances,0,0
25,d6c2de5d-ef90-45d1-82d4-5f2438369eea,1179,0.4334232807159424,/government/brexit,2,Government,0,0
328,58747b8d-6bf7-4470-8f71-c3568132bba2,202,0.4332912862300873,/society-and-culture/library-services,3,Society and culture,0,0
83,d44bcec9-4da8-4fa4-b548-993a826c5327,718,0.4332044720649719,/business/uk-energy-security,3,Business and industry,0,0
671,d2158a98-5f85-4672-ab5e-2ff232a657b4,36,0.43316367268562317,/education/school-trips-and-extracurricular-activity,3,"Education, training and skills",0,0
781,e33ce727-bb6b-47a2-894b-b7174cb7faee,21,0.4331441819667816,/defence/ministry-of-defence-estate,2,Defence and armed forces,0,0
591,8189aedf-2c87-46d4-b913-a598822ce3df,22,0.4330286383628845,/environment/environmental-management-marine-sea-fishing,3,Environment,0,0
366,7a1ba896-b85a-4137-81d9-ab05b7ce67dd,85,0.4328254759311676,/welfare/child-benefit,2,Welfare,0,0
490,edb9b4a6-b804-4348-beee-81827c86bf0b,224,0.43280258774757385,/money/self-assessment,3,Money,0,0
86,5b021981-2999-4da1-9a4e-03c64b70168c,39,0.43222421407699585,/education/careers-guidance-in-further-and-higher-education,3,"Education, training and skills",0,0
632,23100f5c-25d2-4d3f-8a63-f32e619a32d5,155,0.43176770210266113,/crime-justice-and-law/criminal-justice-reform,2,"Crime, justice and law",0,0
342,b1f50b85-b576-4273-95ef-49b80825a882,24,0.4317581057548523,/environment/climate-change-energy-emissions,3,Environment,0,0
430,9fb5e890-c4c2-4237-bad6-a1e04c5f72f6,128,0.4307006001472473,/government/funding-programmes,4,Government,0,0
451,253c217e-5d8e-4ec6-acfb-e5165674cac5,211,0.4303852915763855,/defence-and-armed-forces/armed-forces-support-for-activities-in-the-uk,2,Defence and armed forces,0,0
27,900ee60d-32ed-4dba-9834-09f54de01d5d,1735,0.4303121566772461,/business/competition-competition-act-cartels,4,Business and industry,0,0
73,6bb7a2d2-1693-4682-a52c-a17d7fca9c3e,762,0.4301547706127167,/housing-local-and-community/household-energy,2,"Housing, local and community",0,0
92,13b3a4e4-7254-4650-819d-d9c6e26e01b3,109,0.4300524592399597,/business-and-industry/alcohol-sales,3,Business and industry,0,0
31,8c19f8a6-35c0-4e00-98fd-870fe219affd,1692,0.42979422211647034,/business/competition-consumer-protection,4,Business and industry,0,0
903,49f5ab15-d6fe-4a8e-8e56-44878798e7d6,33,0.4290042817592621,/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts,3,Health and social care,0,0
570,46f0975c-86c4-4599-aeb0-e465a546c005,63,0.4288894236087799,/education/set-up-or-convert-to-an-academy,4,"Education, training and skills",0,0
147,4dae005c-26cf-4ae7-96f8-70c3f75b38a7,141,0.4288199245929718,/health-and-social-care/smoking,4,Health and social care,0,0
196,13d01427-33b5-4ca4-bf7a-68425f54e236,118,0.42875513434410095,/transport/rail,2,Transport,0,0
467,42c7ab56-125d-4328-b1c9-88564d94fef1,290,0.4283559024333954,/regional-and-local-government/northern-ireland-political-stability,3,Regional and local government,0,0
897,a937271d-25d1-4ebc-a2dd-eb94947c2122,5,0.427837610244751,/environment/producing-distributing-food,3,Environment,1,0
135,4794066e-e3cc-425e-8cc4-e7ff3edb4c39,829,0.4275752604007721,/housing-local-and-community,1,"Housing, local and community",0,0
29,fe8630e2-cc33-4b72-a180-d1875e860b58,1732,0.4274619519710541,/business/competition-markets,4,Business and industry,0,0
1036,10cdffc5-6704-4635-b52b-536f08bdb9a4,18,0.4271728992462158,/transport/vans-and-minibuses,3,Transport,0,0
674,17342ebc-04f8-434b-bcd6-be533238d02d,34,0.427092969417572,/education/personal-social-health-and-economic-education,3,"Education, training and skills",0,0
1030,d304dcea-c3f6-4b56-859c-6409a8712111,13,0.4270631670951843,/environment/wildlife-and-animal-welfare,3,Environment,0,0
760,637f0195-79ef-44b6-8cac-8a23cc0d0975,24,0.42697349190711975,/environment/protected-sites-species,3,Environment,0,0
249,42c49174-29b9-4bd8-b62b-b1c6b434ec7f,42,0.42669349908828735,/money/construction-industry-scheme,3,Money,0,0
330,b1846db8-acab-4fc2-b1ad-b98250c78c62,310,0.42635685205459595,/housing-local-and-community/housing-for-older-and-vulnerable-people,3,"Housing, local and community",0,0
74,2389dfd4-a0c4-4bd2-b7e6-06f465463d22,49,0.426129013299942,/childcare-parenting/childrens-health-and-welfare,2,"Parenting, childcare and children's services ",0,0
192,71a02800-becf-40d7-a135-1277345ca8a2,301,0.4258311688899994,/business-and-industry/export-controls,4,Business and industry,0,0
12,2b15ade6-cfcb-4088-bcde-0ab4e29c26ac,585,0.4257277250289917,/environment/greenhouse-gas-emissions,3,Environment,0,0
98,cb162b48-ae42-4c51-9497-7df37e1f5320,121,0.425382137298584,/business/patents,4,Business and industry,0,0
610,51efa3dd-e9bc-42b2-aa26-06bf5f543015,125,0.4252595007419586,/transport/aviation,2,Transport,0,0
733,912b6d4b-73c5-4d34-a756-dc6b0ce16eae,7,0.4247853755950928,/transport/inland-waterways,3,Transport,0,0
757,059e1b97-c18b-4043-94a5-59004df8282d,36,0.42473921179771423,/education/school-buildings-and-land,3,"Education, training and skills",0,0
375,2a1bd1b1-5025-4313-9e5b-8352dd46f1d6,44,0.424677312374115,/welfare/jobseekers-allowance,2,Welfare,0,0
391,84a394d2-b388-4e4e-904e-136ca3f5dd7d,307,0.4240691661834717,/transport/driving-and-road-transport,2,Transport,0,0
321,6d0d07e8-a3f8-4ccb-8311-553a68947acf,22,0.4240352213382721,/environment/environmental-management-marine-marine-protection-and-wildlife,3,Environment,0,0
218,e14845ba-fdad-478d-b1ce-a74111132671,217,0.42327064275741577,/health-and-social-care/drug-misuse-and-dependency,4,Health and social care,0,0
45,08899d00-fd62-43ce-9704-0e71796d063b,50,0.4231945276260376,/health-and-social-care/carers-health,3,Health and social care,0,0
270,d376bc0d-6c47-4399-b1bf-d9adefa47df0,968,0.42319414019584656,/international/uk-prosperity-and-security-asia-latin-america-and-africa,2,International,0,0
303,be87a790-f8b0-40ee-9fba-0c0d07e3f8e8,91,0.42266976833343506,/environment/economic-growth-in-rural-areas,4,Environment,0,0
457,b62699b6-6963-41f1-8bfd-4db36375e232,12,0.4222528636455536,/transport/fleet-management,4,Transport,0,0
356,52872ecc-6996-4af0-9fae-6897e6a1d86c,29,0.42219796776771545,/environment/producing-distributing-food-crops-horticulture,4,Environment,0,0
28,a3773f5e-f05e-48b0-b79a-46374dabbc30,1873,0.4220649003982544,/business/competition-mergers,4,Business and industry,0,0
583,d6fc8b39-351d-4d3f-a938-4a86f38906bc,73,0.4218565821647644,/defence-and-armed-forces/uk-nuclear-deterrent,2,Defence and armed forces,0,0
617,d5c3d032-2c12-4bb3-8340-3cc5084ccba7,35,0.4217463433742523,/childcare-parenting/children-and-young-people-leaving-care,4,"Parenting, childcare and children's services ",0,0
739,ee1214e7-d14d-4975-9e08-b304642ab112,36,0.42167040705680847,/employment/tax-minimum-wage,3,Work,0,0
1062,b0796445-6b5b-4110-9808-459287a89cf2,18,0.42161130905151367,/environment/environmental-management-wildlife-habitat-conservation-fish-and-shellfish,4,Environment,0,0
839,29dbee2a-5865-489b-860f-7eef54a5165a,36,0.42134198546409607,/welfare/families,2,Welfare,0,0
241,5812ef82-6a5c-43b8-9d76-b3f7d8019945,881,0.42133036255836487,/environment/low-carbon-technologies,3,Environment,0,0
873,9101cc52-aaf3-429b-9bad-da16dc6f0a01,15,0.42132508754730225,/housing-local-and-community/planning-permission-appeals,3,"Housing, local and community",0,0
338,761b3ded-bc40-498e-8964-d31c9664970a,165,0.42109259963035583,/defence-and-armed-forces/weapons-proliferation,2,Defence and armed forces,0,0
274,459b36eb-65f0-43a6-95ab-f3fb0bdaff50,403,0.4209442436695099,/crime-justice-and-law/reoffending-and-rehabilitation,2,"Crime, justice and law",0,0
222,20eb4e84-98ee-404b-a4bd-fe8a36d5d71d,315,0.42070090770721436,/childcare-parenting/safeguarding-and-social-care-for-children,2,"Parenting, childcare and children's services ",0,0
699,bfa7817d-35b9-4c67-9cb1-c6a74313e9ee,108,0.42021751403808594,/environment/keeping-farmed-animals-veterinary-medicines,4,Environment,0,0
907,2466c429-d4bc-46ca-ae90-b3545a74238c,36,0.4201407730579376,/international/government-topics-foreign-affairs-piracy-off-the-coast-of-somalia,3,International,0,0
605,326e92c5-253d-4ab9-bdef-bffa0985fa7b,34,0.42013227939605713,/health-and-social-care/medicines-medical-devices-blood-good-practice,3,Health and social care,0,0
606,f441e630-2bba-4bbd-8c1b-22ae61cc00c2,26,0.42005929350852966,/health-and-social-care/medicines-medical-devices-blood-manufacturing-wholesaling-importing-exporting-medicines,3,Health and social care,0,0
250,e04c9a5c-88e8-46e5-91d9-add405e098fb,311,0.42001840472221375,/money/vat,3,Money,0,0
42,a5c88a77-03ba-4100-bd33-7ee2ce602dc8,400,0.4197826087474823,/money/personal-tax,2,Money,0,0
285,5bdb7e5c-bc3b-4b44-bd4a-959973281535,162,0.4193587303161621,/government/constitutional-reform,3,Government,0,0
30,8d110d4f-4c9b-424a-8c75-de0a15bbeaac,1628,0.41927623748779297,/business/competition-regulatory-appeals-references,4,Business and industry,0,0
837,6dde8c8b-2d2a-4b45-b838-d9af448c713b,25,0.4189137816429138,/health-and-social-care/health-protection-radiation,3,Health and social care,0,0
227,cff00c83-21a5-4d43-b0fb-7363fd5443f0,552,0.41890814900398254,/environment/access-to-the-countryside,4,Environment,0,0
257,4f88ed20-7697-4d64-8562-0fda4e7c4c67,153,0.4184027910232544,/regional-and-local-government/northern-ireland-community-relations,3,Regional and local government,0,0
299,682af17f-bb27-47f5-8775-9040cf06984d,174,0.41835057735443115,/environment/freshwater-fisheries,3,Environment,0,0
521,dcc6762c-ccba-4d65-9816-7c867bcedf69,28,0.41807425022125244,/money/capital-allowances,3,Money,0,0
387,d2cf4a8f-19b7-4749-bd4e-f8a40a1369a7,125,0.41755038499832153,/health-and-social-care/harmful-drinking,4,Health and social care,0,0
709,869e0a09-33a3-4db4-a95a-0c27c6234b21,99,0.4173334538936615,/regional-and-local-government/northern-ireland-security,3,Regional and local government,0,0
226,02b042bb-b875-4362-ba13-41cbfb70f242,131,0.4173326790332794,/money/tax-compliance,3,Money,0,0
52,58bebb74-fae7-4c97-878b-61ff543d9d12,211,0.41687577962875366,/education/further-and-higher-education-courses-and-qualifications,3,"Education, training and skills",0,0
566,26b27157-a062-4ba0-8c98-7b29e59bd58e,75,0.4167793393135071,/environment/common-agricultural-policy-reform,3,Environment,0,0
87,e390c88f-b232-4973-8742-60b8e1ebebf8,16,0.4166773557662964,/environment/species-protection-and-marine-conservation,3,Environment,0,0
823,ba7a0379-3dc8-4ee9-acb5-ace8e6dd42b9,23,0.41667044162750244,/education/school-planning,3,"Education, training and skills",0,0
717,b4e41212-77b8-44ba-8fb5-6aa479b20d36,55,0.4165889322757721,/transport/professional-driving-of-lorries-buses-and-coaches,3,Transport,0,0
768,82730dd2-4ead-4ae6-943b-2c910e758279,122,0.41597113013267517,/housing-local-and-community/land-registration,2,"Housing, local and community",0,0
289,5dc8d0fa-0c04-4066-9ecb-2e262d6d878f,202,0.4157886505126953,/money/dealing-with-hmrc-software-development,3,Money,0,0
77,5af6180c-d5db-4cc1-a68e-7bd066908132,167,0.41577497124671936,/childcare-parenting/safeguarding-child-protection,3,"Parenting, childcare and children's services ",0,0
486,85f606cf-741b-4aa3-8480-f92fcce7b3b8,140,0.4157365560531616,/business-and-industry/animal-research-and-testing,3,Business and industry,0,0
1079,8c32ec4f-bb34-45c4-9483-8bfd1248fada,8,0.4154227375984192,/money/dealing-with-hmrc-paying-hmrc-gambling-duties,4,Money,0,0
383,394b93e1-eeb7-421d-91e1-c478cc3d635e,51,0.41482600569725037,/education/health-safety-and-wellbeing-in-schools,3,"Education, training and skills",0,0
713,41ae5900-f8e5-4840-b58f-734631029fd6,12,0.4146471619606018,/education/becoming-an-intern-or-trainee,4,"Education, training and skills",0,0
493,4e83f852-1e37-4329-910e-ab63eb00210a,85,0.41454264521598816,/transport/public-service-vehicles-licensing,5,Transport,0,0
91,076e3cdd-d2a4-47a6-b6c2-07ad2793e9bc,87,0.4144981801509857,/transport/drink-and-drug-driving,4,Transport,0,0
405,c23e2747-a59e-476e-be65-2add5c896f13,85,0.41447195410728455,/transport/road-transport-and-the-environment,3,Transport,0,0
1094,a83ce24e-0ef4-476e-bac6-d18061e0a22e,8,0.41444647312164307,/money/personal-tax-living-working-abroad-offshore-living-and-working-abroad,4,Money,0,0
572,7899db1e-2b8b-4982-a46a-18c6e43742c0,55,0.41431230306625366,/business-and-industry/regional-growth-fund,3,Business and industry,0,0
638,5a9e6b26-ae64-4129-93ee-968028381e83,66,0.41359344124794006,/childcare-parenting/adoption-fostering-and-surrogacy,2,"Parenting, childcare and children's services ",0,0
676,62562899-fed3-4876-ba61-80264d140009,16,0.41308608651161194,/childcare-parenting/finding-childcare,3,"Parenting, childcare and children's services ",0,0
190,104ee859-8278-406b-80cb-5727373e0198,217,0.4123336374759674,/money/income-tax,3,Money,0,0
1207,a08b8273-e7f5-472c-b8f1-8fafd2c3ccaf,4,0.41224151849746704,/business-and-industry/community-interest-companies,3,Business and industry,1,0
582,30ba2d05-d0d6-4978-a5d6-707511894111,97,0.4121359884738922,/health-and-social-care/health-protection,2,Health and social care,0,0
229,64aa6eec-48b5-481d-9131-9c8b6326eea1,77,0.4120467007160187,/education/student-grants-bursaries-scholarships,3,"Education, training and skills",0,0
512,e3cb8b57-6331-419a-b344-7a8148d561cb,33,0.4118328392505646,/education/school-procurement,3,"Education, training and skills",0,0
961,37a65d37-4137-43c1-86e5-028927be1f23,13,0.41120445728302,/environment/climate-change-energy-energy-security,3,Environment,0,0
101,d39a3eae-b358-4472-83e2-2e17a86e2ad8,1281,0.41118162870407104,/transport/corporate-and-operational-information-transport,2,Transport,0,0
132,9a77decd-1dd8-4407-b3c0-5c77c3dba808,59,0.411063015460968,/transport/rail-safety-and-security,3,Transport,0,0
575,f875c256-b84a-417a-b2b5-ff7e301a41c7,31,0.4108377993106842,/life-circumstances/register-offices,2,Life circumstances,0,0
940,04b8b6f2-c044-4b99-8711-89c655794019,12,0.41078856587409973,/environment/keeping-farmed-animals-import-export,4,Environment,0,0
187,4d72b9fa-a11a-485e-9c22-8fb426e0feaa,70,0.4100845158100128,/transport/transport-accessibility-and-mobility,2,Transport,0,0
533,a28530a2-b0a3-46f9-89b9-3d98fc18e39d,126,0.4096835255622864,/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses,3,"Education, training and skills",0,0
611,8d99749f-e2c5-43a3-a283-0faef4ee8a5d,30,0.4094330072402954,/environment/farming-food-grants-payments-rural-grants-payments,4,Environment,0,0
784,6c4c443c-2e11-4d25-aa93-2e3a38d9499c,44,0.40932637453079224,/welfare/heating,2,Welfare,0,0
960,71882e94-5491-49d2-b2f8-9f7e84611080,28,0.4093038737773895,/business-and-industry/running-charity-fundraising,3,Business and industry,0,0
601,073e9067-e0e3-4864-add2-cb2973ed1de0,48,0.40893733501434326,/transport/aviation-and-the-environment,3,Transport,0,0
59,4a12dac1-5ac1-4cec-9219-aea8bb2840e6,524,0.4084169268608093,/international/humanitarian-emergencies,3,International,0,0
57,d84fc2a1-9a91-43a3-b8be-4c1eb0a12289,1571,0.408298134803772,/international/afghanistan,3,International,0,0
685,58a37206-69ee-42e2-960d-218c3e759e3d,164,0.4079360067844391,/society-and-culture/social-investment,3,Society and culture,0,0
378,7d55894e-5ba5-4495-8962-e7650e9a0559,122,0.4077501893043518,/health-and-social-care/health-protection-services-health-surveillance-and-reporting-programmes,3,Health and social care,0,0
272,2fed9b31-6440-451f-a54b-222f06b4e64e,115,0.4076259136199951,/business-and-industry/running-charity-money-accounts,3,Business and industry,0,0
11,1407a519-c8b6-4178-ac74-55708a2c5ce9,787,0.4075237214565277,/environment/energy-and-climate-change-evidence-and-analysis,3,Environment,0,0
975,1cbbf15c-c105-4be7-88c6-38e807fe2b84,9,0.40697285532951355,/health-and-social-care/medicines-medical-devices-blood-herbal-homeopathic-medicines,3,Health and social care,0,0
344,562132d3-7f14-46e8-953b-d7e0d56cf021,36,0.4066963791847229,/crime-justice-and-law/byelaws,2,"Crime, justice and law",0,0
385,b3077141-b10b-424c-ba10-5d41640feddb,284,0.40611302852630615,/environment/bovine-tuberculosis,4,Environment,0,0
735,c419f70a-0986-4f55-b766-3a19216a3e5a,46,0.40538063645362854,/environment/rural-development-land-management,3,Environment,0,0
339,67f50352-bc30-482f-a2d0-a05714e3cea8,334,0.40502244234085083,/government/cyber-security,2,Government,0,0
208,55f1135f-2b81-440f-9d5b-52f593f4b9ad,29,0.405009001493454,/housing-local-and-community/land-registration-searches-fees-forms,3,"Housing, local and community",0,0
835,c2d5f70c-5cec-4618-9e96-7083d8335ba5,39,0.40492135286331177,/health-and-social-care/mental-health,3,Health and social care,0,0
1198,22ad4441-9fb5-447b-950c-bf33466b31bb,11,0.40470218658447266,/environment/chemicals,2,Environment,0,0
1009,eb212500-ab57-4c8c-8eb0-4f11493da437,13,0.40462571382522583,/environment/fisheries-funding,3,Environment,0,0
639,666e7791-1d9a-4b51-8c8d-82f4408fb630,90,0.4043895900249481,/transport/road-maintenance,3,Transport,0,0
662,c50bd0f5-3077-43cc-8500-8e68b67c8b79,10,0.40437328815460205,/health-and-social-care/medicines-medical-devices-blood-blood-regulation-safety,2,Health and social care,0,0
522,88b0ec49-b8fc-4fbb-8418-68b88719b8c8,242,0.40417996048927307,/regional-and-local-government/localism,2,Regional and local government,0,0
891,eaae8f5b-8f16-48cc-94f2-45191a49b274,14,0.40400469303131104,/education/sending-a-child-to-school,3,"Education, training and skills",0,0
681,98636b54-c677-415d-b2b2-255307ea11b8,64,0.40396642684936523,/education/school-governance,3,"Education, training and skills",0,0
624,60677783-056b-484d-89cf-f22a12d1980a,21,0.4037381410598755,/transport/air-passenger-duty,3,Transport,0,0
997,838708d9-324f-4342-a084-ecf8eaac4bad,11,0.4036370515823364,/money/dealing-with-hmrc-paying-hmrc-capital-gains-tax,4,Money,0,0
725,dcdd3946-113f-4a14-88df-9b5915ecae0c,17,0.4035855233669281,/government/european-union-laws-and-regulation-2,3,Government,0,0
515,c7fded2a-fedc-4977-be5d-efd4f6a34a73,59,0.4034390449523926,/international/sexual-violence-in-conflict,2,International,0,0
629,1227db39-e321-4439-a514-10e4d1d0e61d,60,0.40329334139823914,/education/setting-up-or-changing-the-status-of-a-school,3,"Education, training and skills",0,0
959,68f811fb-a0ae-4ca1-920f-0a01c52bec97,7,0.40328559279441833,/environment/keeping-farmed-animals-cattle-deaths,4,Environment,0,0
780,ada85ef4-a2b5-446d-a8cf-92da2573b86f,80,0.4030574560165405,/education/pupil-performance-in-schools,4,"Education, training and skills",0,0
667,1b3b139c-76fe-4bd4-89de-e6dcda134abd,32,0.40305188298225403,/education/recruiting-and-managing-non-teaching-school-staff,3,"Education, training and skills",0,0
199,17a45117-157f-4b32-98eb-3a1a8933a344,297,0.4027749300003052,/environment/climate-change-international-action,3,Environment,0,0
705,ccd41790-a498-4cd1-a510-125d67e0f585,11,0.4027073383331299,/government/public-sector-land-use,2,Government,0,0
314,d762d126-be4c-471d-88f3-6becd8d08e43,932,0.4026693105697632,/housing-local-and-community/planning-system,3,"Housing, local and community",0,0
445,47b6ce42-0bfa-42ee-9ff1-7a9c71ee9727,159,0.4026535451412201,/education/special-educational-needs-and-disability-send-and-high-needs,2,"Education, training and skills",0,0
341,9e7ea8b0-dc6d-4d16-a659-58f3f7248792,61,0.4025254249572754,/business/financial-services-regulation,3,Business and industry,0,0
228,f1d9c348-5c5e-4fc6-9172-13a62537d3ae,133,0.4025183916091919,/childcare-parenting/childcare-and-early-years,2,"Parenting, childcare and children's services ",0,0
555,f755e7a8-f337-4419-bb10-02db53b771b1,133,0.40243619680404663,/government/deficit-reduction,3,Government,0,0
103,3b35111d-dedf-47d7-af44-5125a0d9bfd3,647,0.40221670269966125,/housing-local-and-community/house-building,3,"Housing, local and community",0,0
1149,a119757d-73e8-40c2-940c-1af2ef118bb2,14,0.40189817547798157,/government/legislative-process-2,3,Government,0,0
763,902af4ff-4a3b-4860-932a-f7d9a47c337e,21,0.40184304118156433,/childcare-parenting/child-maintenance,3,"Parenting, childcare and children's services ",0,0
890,68eb1698-4302-43cb-abfe-0cea88ca4844,37,0.40156522393226624,/health-and-social-care/disabilities-rights,3,Health and social care,0,0
411,25bc1af0-33df-40be-a668-d9b05d1dd3e4,142,0.4012857973575592,/education/teacher-training-and-professional-development,3,"Education, training and skills",0,0
288,9ec092af-0f53-4a82-b4b0-9d016162ba01,305,0.40126940608024597,/international/government-topics-foreign-affairs-conflict-in-fragile-states,3,International,0,0
623,e7f94005-797c-4d12-b5f5-9646dc04b04b,16,0.4008389115333557,/money/air-passenger-duty,3,Money,0,0
398,5f1f5537-e9e6-488d-85f6-bd91327987ec,34,0.4008207619190216,/work/trade-unions,2,Work,0,0
509,eaa2e73e-1130-40a7-95c6-ad02f4f96c84,22,0.40065330266952515,/environment/preventing-and-reporting-disease,4,Environment,0,0
534,693b7a9e-688f-4278-9375-9841f4187b23,63,0.40062472224235535,/transport/transport-businesses-and-vehicle-operator-licences,3,Transport,0,0
1019,e9926d96-9bfd-4d8f-ad4e-301254216298,3,0.4004589915275574,/crime-justice-and-law/statutory-rights,2,"Crime, justice and law",1,0
1025,90c7fbe9-e78e-4b36-b3ba-c1637c28326d,13,0.40029722452163696,/crime-justice-and-law/intellectual-property-law-practice-trade-marks,3,"Crime, justice and law",0,0
563,576eb670-9e54-4d6e-a1d0-8335cdbd9005,18,0.4000454246997833,/environment/farming-food-grants-payments-rural-grants-payments-rural-development,5,Environment,0,0
419,9cf64a4b-68cc-4723-8659-cd88523ce910,77,0.3994167745113373,/money/stamp-taxes,3,Money,0,0
100,864fe969-7d5a-4251-b8b5-a50d57be943f,85,0.39931878447532654,/business-and-industry/company-closure-administration-liquidation-and-insolvency,4,Business and industry,0,0
740,efe1b041-42dd-4eb5-afdc-18e6ed877249,45,0.39915931224823,/money/business-tax-vat-rules-for-particular-trades,4,Money,0,0
489,aaeb7f58-d410-4c42-8775-05b0bdeceeea,181,0.39900749921798706,/education/apprenticeships-traineeships-and-internships,3,"Education, training and skills",0,0
223,d24214de-d6da-46b0-a1f3-374f691ea50e,149,0.3988572657108307,/international/climate-change-impact-in-developing-countries,3,International,0,0
44,42b04c03-bea5-49b6-85ee-19ab21653725,118,0.3988114893436432,/health-and-social-care/cancer-research-and-treatment,4,Health and social care,0,0
749,ba1f2f97-5e54-4aaf-8e14-075885ec8093,7,0.39880838990211487,/money/dealing-with-hmrc-paying-hmrc-alcohol-duties,4,Money,0,0
171,386180ca-4219-478e-8b80-a271dd5ce5f2,260,0.39855679869651794,/money/corporation-tax,3,Money,0,0
771,6416e4e0-c0c1-457a-8337-4bf8ed9d5f80,28,0.39822208881378174,/business-and-industry/product-safety,3,Business and industry,0,0
602,5e2be290-4b95-45e4-a362-876340296fe1,46,0.3980189263820648,/money/landfill-tax,3,Money,0,0
470,b7558ad9-32cf-4d77-92e6-e926fc515e72,143,0.3979763388633728,/housing-local-and-community/high-streets-and-town-centres,3,Business and industry,0,0
269,35092839-9f4a-4ee0-a1c3-6969d8440d79,106,0.39772263169288635,/money/fuel-duty,3,Money,0,0
690,a79c77b3-bb31-4b44-90d9-04b6e632124f,101,0.39720019698143005,/health-and-social-care/long-term-health-conditions,4,Health and social care,0,0
181,d2005b89-352f-4896-aced-1d17504330e6,194,0.3971706032752991,/education/education-of-disadvantaged-children,2,"Education, training and skills",0,0
482,a2763aed-d4f2-4c51-9ba1-518398149605,50,0.39705824851989746,/environment/climate-change-energy-energy-efficiency,3,Environment,0,0
438,3bc4ec93-fd86-4c66-98d0-7623cbbaa6be,53,0.3968636691570282,/money/capital-gains-tax,3,Money,0,0
